file_id,cluster_id,uswir_t5,srnr_t5,buysumm_fixed_t5,buysumm_ref_t5,ivd_t5,uswir_centroid,srnr_centroid,buysumm_fixed_centroid,buysumm_ref_centroid,ivd_centroid,uswir_keybert,srnr_keybert,buysumm_fixed_keybert,buysumm_ref_keybert,ivd_keybert
cluster_bge_hdbscan_30,13.0,0.4988953584227069,0.29222698535384806,0.04137931034482759,0.5130952380952382,0.5517241379310345,0.569074692397282,0.29121745,0.14482758620689656,0.6630952380952381,0.5577638375585958,0.4341618615601744,0.0,0.025,,0.4642857142857143
cluster_bge_hdbscan_40,10.0,0.49391794204711914,0.29131577747023624,0.043478260869565216,0.5121212121212121,0.5833333333333333,0.5632088987723641,0.27234036,0.13043478260869565,0.6712121212121213,0.5349059779080644,0.4114453961903399,0.0,0.02727272727272728,,0.3181818181818182
cluster_bge_hdbscan_50,9.0,0.47625588590190526,0.27725188930829364,0.04285714285714286,0.4883333333333333,0.615079365079365,0.5523133533341544,0.27813062,0.1285714285714286,0.6683333333333333,0.5614279340329761,0.4021028481423855,0.0,0.025,,0.3
cluster_bge_kmeans_10,4.5,0.43676961977034806,0.2672498017549515,0.04,0.37333333333333335,0.7166666666666667,0.5361704885959625,0.27577284,0.11000000000000001,0.5733333333333334,0.4652164502164502,0.4041199222207069,0.0,0.04,,0.8
cluster_bge_kmeans_15,7.0,0.4565278232097626,0.302636115749677,0.05333333333333334,0.44,0.888888888888889,0.538058892885844,0.27967173,0.11333333333333334,0.5666666666666667,0.468022607022607,0.40800608893235524,0.0,0.03333333333333333,,0.6
cluster_bge_kmeans_20,9.5,0.4814879823476076,0.2754860371351242,0.045,0.3816666666666667,0.6208333333333333,0.5430611878633499,0.27560437,0.12,0.5316666666666666,0.51454884004884,0.4123260103166103,0.0,0.04,,0.55
cluster_e5_hdbscan_30,16.5,0.5124879002364146,0.29443947018848526,0.05555555555555555,0.4574603174603175,0.6203703703703703,0.6006913052664863,0.301849,0.11944444444444444,0.6314285714285715,0.5548547645769868,0.4641319945454597,0.0,0.045714285714285714,,0.5714285714285714
cluster_e5_hdbscan_40,11.5,0.4988791161718277,0.2843932191339823,0.05384615384615385,0.452,0.6602564102564104,0.5909139972466689,0.29801008,0.13076923076923078,0.628,0.4574046324046324,0.4518801712989807,0.0,0.04800000000000001,,0.64
cluster_e5_hdbscan_50,9.0,0.4820004047027656,0.29631783813238144,0.047619047619047616,0.41500000000000004,0.7142857142857143,0.5831832885742188,0.29827133,0.11904761904761904,0.615,0.39834512929751026,0.4437467485666275,0.0,0.045,,0.5
cluster_e5_kmeans_10,4.5,0.4579431714490056,0.26967606469988825,0.09,0.45999999999999996,0.5833333333333333,0.5476452767848968,0.2776437,0.14,0.62,0.5327851496329756,0.3678296312689781,0.0,0.05,,0.5
