file_id,cluster_id,ivd_t5,pairs_t5,sentences_t5,ivd_centroid,pairs_centroid,sentences_centroid,ivd_keybert,pairs_keybert,sentences_keybert
cluster_bge_hdbscan_30,13.0,1.4770114942528736,3.6551724137931036,2.586206896551724,1.3106707468776433,10.379310344827585,8.931034482758621,1.0357142857142858,1.0357142857142858,1.0
cluster_bge_hdbscan_40,10.0,1.7028985507246375,4.304347826086956,2.5652173913043477,1.1550258919824137,9.91304347826087,8.782608695652174,0.9545454545454546,0.9545454545454546,1.0
cluster_bge_hdbscan_50,9.0,1.675,4.190476190476191,2.5238095238095237,1.208282326139469,10.428571428571429,9.380952380952381,1.3,1.3,1.0
cluster_bge_kmeans_10,4.5,3.4333333333333336,4.7,1.9,1.3392948717948718,11.9,9.9,0.5,0.5,1.0
cluster_bge_kmeans_15,7.0,2.188888888888889,5.333333333333333,2.533333333333333,1.4404702704702705,11.8,8.666666666666666,1.0666666666666667,1.0666666666666667,1.0
cluster_bge_kmeans_20,9.5,1.3991228070175439,3.4,2.35,1.2988336744954392,11.4,9.5,1.3,1.3,1.0
cluster_e5_hdbscan_30,16.5,1.4901960784313726,3.4444444444444446,2.361111111111111,1.4328123472432415,10.972222222222221,8.527777777777779,0.8,0.8,1.0
cluster_e5_hdbscan_40,11.5,1.5466666666666666,3.6923076923076925,2.576923076923077,1.5052962281620819,11.615384615384615,8.961538461538462,0.8,0.8,1.0
cluster_e5_hdbscan_50,9.0,1.6416666666666668,3.6666666666666665,2.4285714285714284,1.3943020297549913,10.333333333333334,8.80952380952381,1.1,1.1,1.0
cluster_e5_kmeans_10,4.5,2.1296296296296298,4.5,2.3,1.4005078091842798,12.4,9.9,0.0,0.0,1.0
cluster_e5_kmeans_15,7.0,1.5595238095238095,4.066666666666666,2.8,1.1255463152831573,11.0,9.866666666666667,1.0666666666666667,1.0666666666666667,1.0
cluster_e5_kmeans_20,9.5,1.7105263157894737,4.15,2.45,1.133230913823019,10.5,9.6,1.0,1.0,1.0
cluster_minilm_hdbscan_30,14.5,1.2370967741935484,3.4375,2.75,1.2433254332473083,11.0,9.3125,1.2580645161290323,1.2580645161290323,1.0
cluster_minilm_hdbscan_40,12.0,1.2019230769230769,3.2962962962962963,2.7037037037037037,1.2169865217087439,11.407407407407407,9.666666666666666,1.4230769230769231,1.4230769230769231,1.0
cluster_minilm_hdbscan_50,9.5,1.1944444444444444,3.272727272727273,2.6363636363636362,1.2170493773902864,12.0,10.227272727272727,1.619047619047619,1.619047619047619,1.0
cluster_minilm_kmeans_10,4.5,1.0333333333333334,2.9,2.8,1.2846139971139972,12.0,10.7,0.8,0.8,1.0
cluster_minilm_kmeans_15,7.0,1.4523809523809523,3.6666666666666665,2.2666666666666666,1.46660582010582,12.466666666666667,9.2,0.8666666666666667,0.8666666666666667,1.0
cluster_minilm_kmeans_20,9.5,1.6008771929824561,4.6,2.95,1.5221170634920635,12.6,8.9,1.8,1.8,1.0
